0.040388	-0.154853	0.927668
0.770522	0.137874	-0.022144
-0.941560	-0.593921	-0.915327
0.815639	0.158032	-0.114924
0.120737	0.622391	0.304988
-0.784133	0.352575	-0.686249
-0.961652	-0.135869	0.701013
0.538782	-0.752019	0.706261
-0.961585	-0.813041	-0.748466
-0.601553	0.654828	0.183180
-0.632429	-0.830704	-0.239686
0.796622	0.617963	0.185066
0.091342	-0.789063	0.565361
-0.102391	0.196872	-0.678346
-0.628705	0.709046	-0.343091
-0.481526	-0.201207	0.334375
-0.967516	0.234258	0.208140
0.987526	0.640875	-0.851969
-0.531361	-0.494639	0.453916
-0.567442	-0.131797	0.114707
-0.381437	-0.214655	-0.692112
0.572585	-0.956840	0.046257
-0.946811	0.651104	-0.442326
-0.612639	-0.707321	0.020807
0.112491	-0.888507	0.721800
0.482733	0.581470	-0.614859
-0.610329	-0.377210	0.250433
-0.679727	-0.592868	0.240659
0.476922	0.014881	0.024939
0.656392	-0.596175	0.892990
-0.795461	0.133022	0.838517
0.078195	-0.010209	-0.040454
-0.448443	0.401743	0.929513
0.651258	-0.965760	0.339583
0.091701	0.059058	0.960024
0.261512	0.136327	0.788368
-0.599814	0.792914	-0.964105
0.749334	0.945852	-0.128100
0.933859	-0.868330	-0.397033
0.781081	-0.528793	0.621033
0.557159	-0.287043	0.673958
-0.731312	0.951047	0.073424
0.933412	-0.634896	-0.444365
0.274241	-0.843361	0.126494
-0.076819	-0.572887	-0.835640
-0.111379	-0.725495	0.687910
0.947094	-0.944547	-0.077763
0.842119	0.346530	0.649289
0.284118	-0.649648	-0.016702
0.274293	-0.958905	-0.657982
0.559510	-0.300665	0.552873
0.232257	-0.235701	0.348397
0.117614	0.124123	0.331472
-0.921235	0.051130	0.404482
-0.829103	0.224210	0.070475
0.656556	0.306556	0.156250
0.228157	0.028427	-0.552308
0.861144	0.936225	0.356037
-0.370018	-0.871920	0.586947
0.633993	-0.697790	0.070592
0.332333	-0.089639	0.680284
-0.506293	-0.438781	-0.827530
-0.171599	0.547965	-0.768931
-0.946575	0.673048	0.577521
0.463305	-0.231697	-0.123307
-0.999921	0.659332	0.407468
-0.190652	-0.425925	-0.560858
0.618319	-0.184876	-0.795078
-0.419469	0.423622	0.605772
-0.656506	-0.392066	-0.790080
0.676989	-0.418788	-0.834099
0.367600	-0.530108	0.918422
0.102707	-0.037374	-0.316850
-0.430860	0.733361	0.009338
-0.615075	0.502930	-0.487363
0.706115	-0.836204	-0.821338
0.622214	-0.480282	-0.320488
0.185131	0.165236	0.191234
0.764850	-0.796359	0.776781
-0.632751	-0.760193	0.768039
-0.267485	0.956087	-0.737926
0.578095	0.515741	-0.545791
